ID,bookid,author_ID,title,genre,publCountry_code,price_amount,price_currency_code,stock,isHardcover,createdAt,createdBy,modifiedAt,modifiedBy
b1a2c3d4-0015-0000-0000-000000000015,BK-0015,a1000001-0000-0000-0000-000000000015,The Hobbit,1,GB,13.50,GBP,175,true,2025-01-15T08:00:00Z,admin@demo.com,2025-01-15T08:00:00Z,admin@demo.com
b1a2c3d4-0016-0000-0000-000000000016,BK-0016,a1000001-0000-0000-0000-000000000016,Outliers,2,US,15.50,USD,130,false,2025-01-16T08:00:00Z,admin@demo.com,2025-01-16T08:00:00Z,admin@demo.com
b1a2c3d4-0017-0000-0000-000000000017,BK-0017,a1000001-0000-0000-0000-000000000017,Crime and Punishment,1,RU,12.50,USD,80,true,2025-01-17T08:00:00Z,admin@demo.com,2025-01-17T08:00:00Z,admin@demo.com
b1a2c3d4-0018-0000-0000-000000000018,BK-0018,a1000001-0000-0000-0000-000000000018,The Power of Habit,2,US,16.50,USD,95,false,2025-01-18T08:00:00Z,admin@demo.com,2025-01-18T08:00:00Z,admin@demo.com
b1a2c3d4-0019-0000-0000-000000000019,BK-0019,a1000001-0000-0000-0000-000000000019,Moby Dick,1,US,11.00,USD,55,true,2025-01-19T08:00:00Z,admin@demo.com,2025-01-19T08:00:00Z,admin@demo.com
b1a2c3d4-0020-0000-0000-000000000020,BK-0020,a1000001-0000-0000-0000-000000000020,Zero to One,2,US,20.99,USD,110,true,2025-01-20T08:00:00Z,admin@demo.com,2025-01-20T08:00:00Z,admin@demo.com
b1a2c3d4-0021-0000-0000-000000000021,BK-0021,a1000001-0000-0000-0000-000000000003,Animal Farm,1,GB,8.99,GBP,220,false,2025-01-21T08:00:00Z,admin@demo.com,2025-01-21T08:00:00Z,admin@demo.com
b1a2c3d4-0022-0000-0000-000000000022,BK-0022,a1000001-0000-0000-0000-000000000004,Homo Deus,2,IL,19.99,USD,95,true,2025-01-22T08:00:00Z,admin@demo.com,2025-01-22T08:00:00Z,admin@demo.com
b1a2c3d4-0023-0000-0000-000000000023,BK-0023,a1000001-0000-0000-0000-000000000017,The Brothers Karamazov,1,RU,15.00,USD,42,false,2025-01-23T08:00:00Z,admin@demo.com,2025-01-23T08:00:00Z,admin@demo.com
b1a2c3d4-0024-0000-0000-000000000024,BK-0024,a1000001-0000-0000-0000-000000000016,The Tipping Point,2,US,14.50,USD,88,true,2025-01-24T08:00:00Z,admin@demo.com,2025-01-24T08:00:00Z,admin@demo.com
b1a2c3d4-0025-0000-0000-000000000025,BK-0025,a1000001-0000-0000-0000-000000000015,The Lord of the Rings,1,GB,29.99,GBP,250,true,2025-01-25T08:00:00Z,admin@demo.com,2025-01-25T08:00:00Z,admin@demo.com
b1a2c3d4-0026-0000-0000-000000000026,BK-0026,a1000001-0000-0000-0000-000000000016,Blink,2,US,13.99,USD,105,false,2025-01-26T08:00:00Z,admin@demo.com,2025-01-26T08:00:00Z,admin@demo.com
b1a2c3d4-0027-0000-0000-000000000027,BK-0027,a1000001-0000-0000-0000-000000000009,By the River Piedra I Sat Down and Wept,1,BR,11.99,USD,65,false,2025-01-27T08:00:00Z,admin@demo.com,2025-01-27T08:00:00Z,admin@demo.com
b1a2c3d4-0028-0000-0000-000000000028,BK-0028,a1000001-0000-0000-0000-000000000004,21 Lessons for the 21st Century,2,IL,17.99,USD,77,true,2025-01-28T08:00:00Z,admin@demo.com,2025-01-28T08:00:00Z,admin@demo.com
b1a2c3d4-0029-0000-0000-000000000029,BK-0029,a1000001-0000-0000-0000-000000000003,Homage to Catalonia,2,GB,10.99,GBP,55,false,2025-01-29T08:00:00Z,admin@demo.com,2025-01-29T08:00:00Z,admin@demo.com
b1a2c3d4-0030-0000-0000-000000000030,BK-0030,a1000001-0000-0000-0000-000000000011,The Martian Chronicles,1,US,12.99,USD,88,true,2025-01-30T08:00:00Z,admin@demo.com,2025-01-30T08:00:00Z,admin@demo.com
b1a2c3d4-0031-0000-0000-000000000031,BK-0031,a1000001-0000-0000-0000-000000000016,David and Goliath,2,US,15.99,USD,92,false,2025-02-01T08:00:00Z,admin@demo.com,2025-02-01T08:00:00Z,admin@demo.com
b1a2c3d4-0032-0000-0000-000000000032,BK-0032,a1000001-0000-0000-0000-000000000017,The Idiot,1,RU,13.50,USD,48,true,2025-02-02T08:00:00Z,admin@demo.com,2025-02-02T08:00:00Z,admin@demo.com
b1a2c3d4-0033-0000-0000-000000000033,BK-0033,a1000001-0000-0000-0000-000000000009,The Zahir,1,BR,10.99,USD,70,false,2025-02-03T08:00:00Z,admin@demo.com,2025-02-03T08:00:00Z,admin@demo.com
b1a2c3d4-0034-0000-0000-000000000034,BK-0034,a1000001-0000-0000-0000-000000000014,Atomic Habits Journal,2,US,9.99,USD,200,false,2025-02-04T08:00:00Z,admin@demo.com,2025-02-04T08:00:00Z,admin@demo.com
b1a2c3d4-0035-0000-0000-000000000035,BK-0035,a1000001-0000-0000-0000-000000000011,Fahrenheit 451 Illustrated,1,US,24.99,USD,45,true,2025-02-05T08:00:00Z,admin@demo.com,2025-02-05T08:00:00Z,admin@demo.com
b1a2c3d4-0036-0000-0000-000000000036,BK-0036,a1000001-0000-0000-0000-000000000019,Billy Budd,1,US,9.50,USD,60,false,2025-02-06T08:00:00Z,admin@demo.com,2025-02-06T08:00:00Z,admin@demo.com
b1a2c3d4-0037-0000-0000-000000000037,BK-0037,a1000001-0000-0000-0000-000000000006,Noise,2,US,22.99,USD,55,true,2025-02-07T08:00:00Z,admin@demo.com,2025-02-07T08:00:00Z,admin@demo.com
b1a2c3d4-0038-0000-0000-000000000038,BK-0038,a1000001-0000-0000-0000-000000000020,Zero to One Notes,2,US,18.99,USD,40,true,2025-02-08T08:00:00Z,admin@demo.com,2025-02-08T08:00:00Z,admin@demo.com
b1a2c3d4-0039-0000-0000-000000000039,BK-0039,a1000001-0000-0000-0000-000000000005,Point Counter Point,1,GB,11.99,GBP,35,false,2025-02-09T08:00:00Z,admin@demo.com,2025-02-09T08:00:00Z,admin@demo.com
b1a2c3d4-0040-0000-0000-000000000040,BK-0040,a1000001-0000-0000-0000-000000000018,The Habit Loop,2,US,14.99,USD,82,false,2025-02-10T08:00:00Z,admin@demo.com,2025-02-10T08:00:00Z,admin@demo.com
b1a2c3d4-0041-0000-0000-000000000041,BK-0041,a1000001-0000-0000-0000-000000000001,Tender is the Night,1,US,13.99,USD,68,false,2025-02-11T08:00:00Z,admin@demo.com,2025-02-11T08:00:00Z,admin@demo.com
b1a2c3d4-0042-0000-0000-000000000042,BK-0042,a1000001-0000-0000-0000-000000000012,The Startup Way,2,US,20.99,USD,50,true,2025-02-12T08:00:00Z,admin@demo.com,2025-02-12T08:00:00Z,admin@demo.com
b1a2c3d4-0043-0000-0000-000000000043,BK-0043,a1000001-0000-0000-0000-000000000015,The Silmarillion,1,GB,16.99,GBP,88,true,2025-02-13T08:00:00Z,admin@demo.com,2025-02-13T08:00:00Z,admin@demo.com
b1a2c3d4-0044-0000-0000-000000000044,BK-0044,a1000001-0000-0000-0000-000000000007,Franny and Zooey,1,US,11.99,USD,75,false,2025-02-14T08:00:00Z,admin@demo.com,2025-02-14T08:00:00Z,admin@demo.com
b1a2c3d4-0045-0000-0000-000000000045,BK-0045,a1000001-0000-0000-0000-000000000008,The Universe in a Nutshell,2,GB,18.99,GBP,62,true,2025-02-15T08:00:00Z,admin@demo.com,2025-02-15T08:00:00Z,admin@demo.com
b1a2c3d4-0046-0000-0000-000000000046,BK-0046,a1000001-0000-0000-0000-000000000009,The Valkyries,1,BR,10.50,USD,55,false,2025-02-16T08:00:00Z,admin@demo.com,2025-02-16T08:00:00Z,admin@demo.com
b1a2c3d4-0047-0000-0000-000000000047,BK-0047,a1000001-0000-0000-0000-000000000010,Educated Essays,2,US,16.99,USD,48,true,2025-02-17T08:00:00Z,admin@demo.com,2025-02-17T08:00:00Z,admin@demo.com
b1a2c3d4-0048-0000-0000-000000000048,BK-0048,a1000001-0000-0000-0000-000000000013,Rites of Passage,1,GB,12.50,GBP,40,false,2025-02-18T08:00:00Z,admin@demo.com,2025-02-18T08:00:00Z,admin@demo.com
b1a2c3d4-0049-0000-0000-000000000049,BK-0049,a1000001-0000-0000-0000-000000000019,Typee,1,US,9.99,USD,35,false,2025-02-19T08:00:00Z,admin@demo.com,2025-02-19T08:00:00Z,admin@demo.com
b1a2c3d4-0050-0000-0000-000000000050,BK-0050,a1000001-0000-0000-0000-000000000002,Go Set a Watchman,1,US,14.99,USD,95,true,2025-02-20T08:00:00Z,admin@demo.com,2025-02-20T08:00:00Z,admin@demo.com
